Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MpwebSuite1 - Demosandbox,Chrome 108.0.0.0,,,2023-01-02 12:52:27,2023-01-02 12:54:53,2m - 25.534s,PASSED
,,,,,,,
Test Cases/Add_Affiliation,Chrome 108.0.0.0,,,2023-01-02 12:52:28,2023-01-02 12:54:53,2m - 24.905s,PASSED
"callTestCase(findTestCase(""LoginTestcase""), [""url"":url, ""username"":username, ""password"":password], CONTINUE_ON_FAILURE)",Chrome 108.0.0.0,,,2023-01-02 12:52:29,2023-01-02 12:53:02,32.826s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/a_MarketProminence_mpweb-navbar-icon-button_1cdd27""))",Chrome 108.0.0.0,,,2023-01-02 12:53:02,2023-01-02 12:53:05,3.797s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/a_Setup""))",Chrome 108.0.0.0,,,2023-01-02 12:53:05,2023-01-02 12:53:06,0.646s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/a_Action""))",Chrome 108.0.0.0,,,2023-01-02 12:53:06,2023-01-02 12:53:17,11.090s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/selectAffiliation""))",Chrome 108.0.0.0,,,2023-01-02 12:53:17,2023-01-02 12:53:18,0.614s,PASSED
maximizeWindow(),Chrome 108.0.0.0,,,2023-01-02 12:53:18,2023-01-02 12:53:18,0.156s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/button_Add""))",Chrome 108.0.0.0,,,2023-01-02 12:53:18,2023-01-02 12:53:23,5.087s,PASSED
"setText(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Primary_affiliation""), ""staff user"")",Chrome 108.0.0.0,,,2023-01-02 12:53:23,2023-01-02 12:53:25,2.163s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Secondary_affiliation""))",Chrome 108.0.0.0,,,2023-01-02 12:53:25,2023-01-02 12:53:26,0.612s,PASSED
"setText(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Secondary_affiliation""), ""user1"")",Chrome 108.0.0.0,,,2023-01-02 12:53:26,2023-01-02 12:53:27,1.352s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Lan_assignedPrograms-SELECTED-row-2-col-0""))",Chrome 108.0.0.0,,,2023-01-02 12:53:27,2023-01-02 12:53:28,0.973s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_M03_assignedPrograms-SELECTED-row-3-col-0""))",Chrome 108.0.0.0,,,2023-01-02 12:53:28,2023-01-02 12:53:29,0.710s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/button_Save""))",Chrome 108.0.0.0,,,2023-01-02 12:53:29,2023-01-02 12:53:29,0.711s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/span_staff user (1)""))",Chrome 108.0.0.0,,,2023-01-02 12:53:29,2023-01-02 12:53:34,4.378s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/button_Add""))",Chrome 108.0.0.0,,,2023-01-02 12:53:34,2023-01-02 12:53:35,1.522s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/span_Primary_k-button-icon k-icon k-i-arrow-s""))",Chrome 108.0.0.0,,,2023-01-02 12:53:35,2023-01-02 12:53:36,1.029s,PASSED
"setText(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Primary_affiliation""), ""staff user"")",Chrome 108.0.0.0,,,2023-01-02 12:53:36,2023-01-02 12:53:38,1.141s,PASSED
"setText(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Secondary_affiliation""), ""user2"")",Chrome 108.0.0.0,,,2023-01-02 12:53:38,2023-01-02 12:53:39,1.168s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_M03_assignedPrograms-SELECTED-row-3-col-0""))",Chrome 108.0.0.0,,,2023-01-02 12:53:39,2023-01-02 12:53:39,0.671s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/button_Save""))",Chrome 108.0.0.0,,,2023-01-02 12:53:39,2023-01-02 12:53:40,0.553s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/div_Successfully saved Affiliation""), ""Successfully saved Affiliation."")",Chrome 108.0.0.0,,,2023-01-02 12:53:40,2023-01-02 12:53:40,0.006s,NOT_RUN
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/i_Contains_action-icon-is-enabled fa fa-clo_c0333a""))",Chrome 108.0.0.0,,,2023-01-02 12:53:40,2023-01-02 12:53:42,2.080s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Contains_copyFrom-selected-col-radio-0""))",Chrome 108.0.0.0,,,2023-01-02 12:53:42,2023-01-02 12:53:44,1.600s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/button_Copy""))",Chrome 108.0.0.0,,,2023-01-02 12:53:44,2023-01-02 12:53:44,0.612s,PASSED
maximizeWindow(),Chrome 108.0.0.0,,,2023-01-02 12:53:44,2023-01-02 12:53:44,0.007s,NOT_RUN
"verifyElementText(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/div_Programs Copied Successfully""), ""Programs Copied Successfully"")",Chrome 108.0.0.0,,,2023-01-02 12:53:44,2023-01-02 12:53:46,2.216s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/span_Copy Programs - staff user_k-button-ic_e1b3d7""))",Chrome 108.0.0.0,,,2023-01-02 12:53:46,2023-01-02 12:53:51,4.909s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/button_Add""))",Chrome 108.0.0.0,,,2023-01-02 12:53:51,2023-01-02 12:53:58,6.175s,PASSED
"setText(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Primary_affiliation""), ""staff user"")",Chrome 108.0.0.0,,,2023-01-02 12:53:58,2023-01-02 12:54:03,5.312s,PASSED
"setText(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Secondary_affiliation""), ""user3"")",Chrome 108.0.0.0,,,2023-01-02 12:54:03,2023-01-02 12:54:04,1.148s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_KL0_assignedPrograms-SELECTED-row-1-col-0""))",Chrome 108.0.0.0,,,2023-01-02 12:54:04,2023-01-02 12:54:05,0.726s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_M05_assignedPrograms-SELECTED-row-4-col-0""))",Chrome 108.0.0.0,,,2023-01-02 12:54:05,2023-01-02 12:54:05,0.604s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/button_Save""))",Chrome 108.0.0.0,,,2023-01-02 12:54:05,2023-01-02 12:54:06,0.590s,PASSED
maximizeWindow(),Chrome 108.0.0.0,,,2023-01-02 12:54:06,2023-01-02 12:54:06,0.004s,NOT_RUN
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/applyfrom""))",Chrome 108.0.0.0,,,2023-01-02 12:54:06,2023-01-02 12:54:08,2.524s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/ApplytoCheckbox1""))",Chrome 108.0.0.0,,,2023-01-02 12:54:08,2023-01-02 12:54:10,1.616s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/Applytocheckbox2""))",Chrome 108.0.0.0,,,2023-01-02 12:54:10,2023-01-02 12:54:11,0.541s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/Apply""))",Chrome 108.0.0.0,,,2023-01-02 12:54:11,2023-01-02 12:54:11,0.602s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/closeApplypopupwindow""))",Chrome 108.0.0.0,,,2023-01-02 12:54:11,2023-01-02 12:54:17,6.094s,PASSED
a = 1,Chrome 108.0.0.0,,,2023-01-02 12:54:17,2023-01-02 12:54:17,0.007s,PASSED
if (a == 5),Chrome 108.0.0.0,,,2023-01-02 12:54:17,2023-01-02 12:54:17,0.003s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/i_Voluntary Disenroll Reason(18)_fa fa-lg fa-table""))",Chrome 108.0.0.0,,,2023-01-02 12:54:17,2023-01-02 12:54:19,1.449s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/span_SNP(1)_k-icon ng-tns-c68-17 k-i-expand""))",Chrome 108.0.0.0,,,2023-01-02 12:54:19,2023-01-02 12:54:20,1.510s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/i_Contains_action-icon-is-enabled fa fa-fw _a6b016""))",Chrome 108.0.0.0,,,2023-01-02 12:54:20,2023-01-02 12:54:21,0.593s,PASSED
"getText(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/span_user2""), OPTIONAL)",Chrome 108.0.0.0,,,2023-01-02 12:54:21,2023-01-02 12:54:23,1.924s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/i_Voluntary Disenroll Reason(18)_fa fa-lg f_9fce55""))",Chrome 108.0.0.0,,,2023-01-02 12:54:23,2023-01-02 12:54:23,0.620s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/span_Record  1""), ""Record : 1"")",Chrome 108.0.0.0,,,2023-01-02 12:54:23,2023-01-02 12:54:25,1.410s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/i_Voluntary Disenroll Reason(18)_fa fa-lg f_5f7ad2""))",Chrome 108.0.0.0,,,2023-01-02 12:54:25,2023-01-02 12:54:25,0.542s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/span_Records  2""), ""Records : 2"")",Chrome 108.0.0.0,,,2023-01-02 12:54:25,2023-01-02 12:54:27,1.340s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/i_Voluntary Disenroll Reason(18)_fa fa-lg fa-table""))",Chrome 108.0.0.0,,,2023-01-02 12:54:27,2023-01-02 12:54:27,0.662s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/span_Records  3""), ""Records : 3"")",Chrome 108.0.0.0,,,2023-01-02 12:54:27,2023-01-02 12:54:29,1.389s,PASSED
