Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MpwebSuite1,Chrome 108.0.0.0,,,2022-12-30 17:05:31,2022-12-30 17:10:48,5m - 16.396s,PASSED
,,,,,,,
Test Cases/LoginTestcase,Chrome 108.0.0.0,,,2022-12-30 17:05:32,2022-12-30 17:06:21,48.448s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-30 17:05:33,2022-12-30 17:05:39,6.610s,PASSED
navigateToUrl(url),Chrome 108.0.0.0,,,2022-12-30 17:05:39,2022-12-30 17:05:59,19.918s,PASSED
"var = verifyElementText(findTestObject(""Page_MarketProminence Authorization/h3_MarketProminence Login""), ""MarketProminence Login"", OPTIONAL)",Chrome 108.0.0.0,,,2022-12-30 17:05:59,2022-12-30 17:06:00,0.601s,PASSED
if (var == true),Chrome 108.0.0.0,,,2022-12-30 17:06:00,2022-12-30 17:06:21,20.729s,PASSED
,,,,,,,
Test Cases/Add_Affiliation,Chrome 108.0.0.0,,,2022-12-30 17:06:21,2022-12-30 17:10:48,4m - 27.189s,PASSED
"callTestCase(findTestCase(""LoginTestcase""), [""url"":url, ""username"":username, ""password"":password], CONTINUE_ON_FAILURE)",Chrome 108.0.0.0,,,2022-12-30 17:06:21,2022-12-30 17:06:55,33.607s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/a_MarketProminence_mpweb-navbar-icon-button_1cdd27""))",Chrome 108.0.0.0,,,2022-12-30 17:06:55,2022-12-30 17:06:59,4.133s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/a_Setup""))",Chrome 108.0.0.0,,,2022-12-30 17:06:59,2022-12-30 17:07:00,0.667s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/a_Action""))",Chrome 108.0.0.0,,,2022-12-30 17:07:00,2022-12-30 17:07:13,12.678s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/selectAffiliation""))",Chrome 108.0.0.0,,,2022-12-30 17:07:13,2022-12-30 17:07:14,1.562s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/button_Add""))",Chrome 108.0.0.0,,,2022-12-30 17:07:14,2022-12-30 17:07:22,7.577s,PASSED
"setText(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Primary_affiliation""), ""staff user"")",Chrome 108.0.0.0,,,2022-12-30 17:07:22,2022-12-30 17:07:27,5.008s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Secondary_affiliation""))",Chrome 108.0.0.0,,,2022-12-30 17:07:27,2022-12-30 17:07:29,2.117s,PASSED
"setText(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Secondary_affiliation""), ""user1"")",Chrome 108.0.0.0,,,2022-12-30 17:07:29,2022-12-30 17:07:34,4.990s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Lan_assignedPrograms-SELECTED-row-2-col-0""))",Chrome 108.0.0.0,,,2022-12-30 17:07:34,2022-12-30 17:07:36,2.045s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_M03_assignedPrograms-SELECTED-row-3-col-0""))",Chrome 108.0.0.0,,,2022-12-30 17:07:36,2022-12-30 17:07:38,1.944s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/button_Save""))",Chrome 108.0.0.0,,,2022-12-30 17:07:38,2022-12-30 17:07:40,1.835s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/span_staff user (1)""))",Chrome 108.0.0.0,,,2022-12-30 17:07:40,2022-12-30 17:08:00,19.854s,PASSED
