Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MpwebSuite1,Chrome 108.0.0.0,,,2022-12-29 11:46:57,2022-12-29 11:51:08,4m - 11.494s,PASSED
,,,,,,,
Test Cases/Add_Affiliation,Chrome 108.0.0.0,,,2022-12-29 11:46:58,2022-12-29 11:51:08,4m - 9.692s,PASSED
"callTestCase(findTestCase(""LoginTestcase""), [""url"":url, ""username"":username, ""password"":password], CONTINUE_ON_FAILURE)",Chrome 108.0.0.0,,,2022-12-29 11:47:01,2022-12-29 11:47:55,53.360s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/a_MarketProminence_mpweb-navbar-icon-button_1cdd27""))",Chrome 108.0.0.0,,,2022-12-29 11:47:55,2022-12-29 11:48:01,5.893s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/a_Setup""))",Chrome 108.0.0.0,,,2022-12-29 11:48:01,2022-12-29 11:48:02,1.349s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/a_Action""))",Chrome 108.0.0.0,,,2022-12-29 11:48:02,2022-12-29 11:48:21,18.796s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/selectAffiliation""))",Chrome 108.0.0.0,,,2022-12-29 11:48:21,2022-12-29 11:48:22,1.388s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/button_Add""))",Chrome 108.0.0.0,,,2022-12-29 11:48:22,2022-12-29 11:48:40,18.289s,PASSED
"setText(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Primary_affiliation""), ""staff user"")",Chrome 108.0.0.0,,,2022-12-29 11:48:40,2022-12-29 11:48:49,8.337s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Secondary_affiliation""))",Chrome 108.0.0.0,,,2022-12-29 11:48:49,2022-12-29 11:48:51,1.817s,PASSED
"setText(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Secondary_affiliation""), ""user1"")",Chrome 108.0.0.0,,,2022-12-29 11:48:51,2022-12-29 11:48:56,5.140s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Lan_assignedPrograms-SELECTED-row-2-col-0""))",Chrome 108.0.0.0,,,2022-12-29 11:48:56,2022-12-29 11:48:59,3.350s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_M03_assignedPrograms-SELECTED-row-3-col-0""))",Chrome 108.0.0.0,,,2022-12-29 11:48:59,2022-12-29 11:49:05,5.952s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/button_Save""))",Chrome 108.0.0.0,,,2022-12-29 11:49:05,2022-12-29 11:49:07,1.784s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/span_staff user (1)""))",Chrome 108.0.0.0,,,2022-12-29 11:49:07,2022-12-29 11:49:28,21.478s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/button_Add""))",Chrome 108.0.0.0,,,2022-12-29 11:49:28,2022-12-29 11:49:31,2.278s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/span_Primary_k-button-icon k-icon k-i-arrow-s""))",Chrome 108.0.0.0,,,2022-12-29 11:49:31,2022-12-29 11:49:32,1.443s,PASSED
"setText(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Primary_affiliation""), ""staff user"")",Chrome 108.0.0.0,,,2022-12-29 11:49:32,2022-12-29 11:49:34,1.674s,PASSED
