Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MpwebSuite1,Chrome 108.0.0.0,,,2023-01-03 14:25:28,2023-01-03 14:34:13,8m - 45.007s,PASSED
,,,,,,,
Test Cases/Add_Affiliation,Chrome 108.0.0.0,,,2023-01-03 14:25:29,2023-01-03 14:34:13,8m - 43.362s,PASSED
"callTestCase(findTestCase(""LoginTestcase""), [""url"":url, ""username"":username, ""password"":password], CONTINUE_ON_FAILURE)",Chrome 108.0.0.0,,,2023-01-03 14:25:31,2023-01-03 14:26:14,42.948s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/a_MarketProminence_mpweb-navbar-icon-button_1cdd27""))",Chrome 108.0.0.0,,,2023-01-03 14:26:14,2023-01-03 14:26:18,3.879s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/a_Setup""))",Chrome 108.0.0.0,,,2023-01-03 14:26:18,2023-01-03 14:26:19,0.759s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/a_Action""))",Chrome 108.0.0.0,,,2023-01-03 14:26:19,2023-01-03 14:26:36,17.061s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/selectAffiliation""))",Chrome 108.0.0.0,,,2023-01-03 14:26:36,2023-01-03 14:26:37,0.696s,PASSED
maximizeWindow(),Chrome 108.0.0.0,,,2023-01-03 14:26:37,2023-01-03 14:26:37,0.422s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/button_Add""))",Chrome 108.0.0.0,,,2023-01-03 14:26:37,2023-01-03 14:26:48,11.057s,PASSED
"setText(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Primary_affiliation""), ""staff user"")",Chrome 108.0.0.0,,,2023-01-03 14:26:48,2023-01-03 14:26:52,3.985s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Secondary_affiliation""))",Chrome 108.0.0.0,,,2023-01-03 14:26:52,2023-01-03 14:26:55,2.437s,PASSED
"setText(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Secondary_affiliation""), ""user1"")",Chrome 108.0.0.0,,,2023-01-03 14:26:55,2023-01-03 14:26:59,4.015s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Lan_assignedPrograms-SELECTED-row-2-col-0""))",Chrome 108.0.0.0,,,2023-01-03 14:26:59,2023-01-03 14:27:00,1.424s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_M03_assignedPrograms-SELECTED-row-3-col-0""))",Chrome 108.0.0.0,,,2023-01-03 14:27:00,2023-01-03 14:27:01,1.248s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/button_Save""))",Chrome 108.0.0.0,,,2023-01-03 14:27:01,2023-01-03 14:27:02,1.042s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/span_staff user (1)""))",Chrome 108.0.0.0,,,2023-01-03 14:27:02,2023-01-03 14:27:22,19.099s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/button_Add""))",Chrome 108.0.0.0,,,2023-01-03 14:27:22,2023-01-03 14:27:24,2.250s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/span_Primary_k-button-icon k-icon k-i-arrow-s""))",Chrome 108.0.0.0,,,2023-01-03 14:27:24,2023-01-03 14:27:25,1.480s,PASSED
"setText(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Primary_affiliation""), ""staff user"")",Chrome 108.0.0.0,,,2023-01-03 14:27:25,2023-01-03 14:27:27,1.386s,PASSED
"setText(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Secondary_affiliation""), ""user2"")",Chrome 108.0.0.0,,,2023-01-03 14:27:27,2023-01-03 14:27:28,1.604s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_M03_assignedPrograms-SELECTED-row-3-col-0""))",Chrome 108.0.0.0,,,2023-01-03 14:27:28,2023-01-03 14:27:29,0.670s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/button_Save""))",Chrome 108.0.0.0,,,2023-01-03 14:27:29,2023-01-03 14:27:30,0.643s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/div_Successfully saved Affiliation""), ""Successfully saved Affiliation."")",Chrome 108.0.0.0,,,2023-01-03 14:27:30,2023-01-03 14:27:30,0.018s,NOT_RUN
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/i_Contains_action-icon-is-enabled fa fa-clo_c0333a""))",Chrome 108.0.0.0,,,2023-01-03 14:27:30,2023-01-03 14:27:32,2.791s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Contains_copyFrom-selected-col-radio-0""))",Chrome 108.0.0.0,,,2023-01-03 14:27:32,2023-01-03 14:27:35,2.513s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/button_Copy""))",Chrome 108.0.0.0,,,2023-01-03 14:27:35,2023-01-03 14:27:36,1.020s,PASSED
maximizeWindow(),Chrome 108.0.0.0,,,2023-01-03 14:27:36,2023-01-03 14:27:36,0.016s,NOT_RUN
"verifyElementText(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/div_Programs Copied Successfully""), ""Programs Copied Successfully"")",Chrome 108.0.0.0,,,2023-01-03 14:27:36,2023-01-03 14:27:38,2.328s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/span_Copy Programs - staff user_k-button-ic_e1b3d7""))",Chrome 108.0.0.0,,,2023-01-03 14:27:38,2023-01-03 14:27:42,3.913s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/button_Add""))",Chrome 108.0.0.0,,,2023-01-03 14:27:42,2023-01-03 14:27:45,2.384s,PASSED
"setText(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Primary_affiliation""), ""staff user"")",Chrome 108.0.0.0,,,2023-01-03 14:27:45,2023-01-03 14:27:47,2.195s,PASSED
