Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MpwebSuite1,Chrome 108.0.0.0,,,2022-12-29 16:47:26,2022-12-29 16:48:16,49.214s,PASSED
,,,,,,,
Test Cases/LoginTestcase,Chrome 108.0.0.0,,,2022-12-29 16:47:27,2022-12-29 16:48:16,48.423s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-29 16:47:28,2022-12-29 16:47:35,6.795s,PASSED
navigateToUrl(url),Chrome 108.0.0.0,,,2022-12-29 16:47:35,2022-12-29 16:47:54,19.203s,PASSED
"var = verifyTextPresent(""MarketProminence Login"", false, OPTIONAL)",Chrome 108.0.0.0,,,2022-12-29 16:47:54,2022-12-29 16:47:56,1.779s,PASSED
if (var == true),Chrome 108.0.0.0,,,2022-12-29 16:47:56,2022-12-29 16:48:16,19.848s,PASSED
