Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MpwebSuite1 - Demosandbox,Chrome 108.0.0.0,,,2023-01-02 12:57:57,2023-01-02 12:59:11,1m - 14.266s,PASSED
,,,,,,,
Test Cases/LoginTestcase,Chrome 108.0.0.0,,,2023-01-02 12:57:58,2023-01-02 12:58:35,36.631s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2023-01-02 12:58:00,2023-01-02 12:58:05,5.568s,PASSED
navigateToUrl(url),Chrome 108.0.0.0,,,2023-01-02 12:58:05,2023-01-02 12:58:21,15.751s,PASSED
"var = verifyElementText(findTestObject(""Page_MarketProminence Authorization/h3_MarketProminence Login""), ""MarketProminence Login"", OPTIONAL)",Chrome 108.0.0.0,,,2023-01-02 12:58:21,2023-01-02 12:58:22,0.674s,PASSED
if (var == true),Chrome 108.0.0.0,,,2023-01-02 12:58:22,2023-01-02 12:58:33,11.341s,PASSED
Video,Chrome 108.0.0.0,,,2023-01-02 12:58:35,2023-01-02 12:58:35,0.002s,PASSED
,,,,,,,
Test Cases/LoginTestcase,Chrome 108.0.0.0,,,2023-01-02 12:58:35,2023-01-02 12:59:11,36.357s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2023-01-02 12:58:35,2023-01-02 12:58:38,3.216s,PASSED
navigateToUrl(url),Chrome 108.0.0.0,,,2023-01-02 12:58:38,2023-01-02 12:58:54,15.493s,PASSED
"var = verifyElementText(findTestObject(""Page_MarketProminence Authorization/h3_MarketProminence Login""), ""MarketProminence Login"", OPTIONAL)",Chrome 108.0.0.0,,,2023-01-02 12:58:54,2023-01-02 12:58:54,0.493s,PASSED
if (var == true),Chrome 108.0.0.0,,,2023-01-02 12:58:54,2023-01-02 12:59:09,15.076s,PASSED
Video,Chrome 108.0.0.0,,,2023-01-02 12:59:11,2023-01-02 12:59:11,0.001s,PASSED
