Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MpwebSuite1 - Demosandbox,Chrome 108.0.0.0,,,2023-01-02 10:27:36,2023-01-02 10:31:16,3m - 40.102s,PASSED
,,,,,,,
Test Cases/Add_Affiliation,Chrome 108.0.0.0,,,2023-01-02 10:27:38,2023-01-02 10:31:16,3m - 38.295s,PASSED
"callTestCase(findTestCase(""LoginTestcase""), [""url"":url, ""username"":username, ""password"":password], CONTINUE_ON_FAILURE)",Chrome 108.0.0.0,,,2023-01-02 10:27:40,2023-01-02 10:28:22,42.270s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/a_MarketProminence_mpweb-navbar-icon-button_1cdd27""))",Chrome 108.0.0.0,,,2023-01-02 10:28:22,2023-01-02 10:28:29,7.130s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/a_Setup""))",Chrome 108.0.0.0,,,2023-01-02 10:28:29,2023-01-02 10:28:31,1.329s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/a_Action""))",Chrome 108.0.0.0,,,2023-01-02 10:28:31,2023-01-02 10:28:50,19.323s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/selectAffiliation""))",Chrome 108.0.0.0,,,2023-01-02 10:28:50,2023-01-02 10:28:51,1.059s,PASSED
maximizeWindow(),Chrome 108.0.0.0,,,2023-01-02 10:28:51,2023-01-02 10:28:51,0.497s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/button_Add""))",Chrome 108.0.0.0,,,2023-01-02 10:28:51,2023-01-02 10:29:00,8.756s,PASSED
"setText(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Primary_affiliation""), ""staff user"")",Chrome 108.0.0.0,,,2023-01-02 10:29:00,2023-01-02 10:29:04,4.248s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Secondary_affiliation""))",Chrome 108.0.0.0,,,2023-01-02 10:29:04,2023-01-02 10:29:06,1.558s,PASSED
