Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MpwebSuite1,Chrome 108.0.0.0,,,2022-12-29 10:58:36,2022-12-29 11:08:44,10m - 8.361s,FAILED
,,,,,,,
Test Cases/Add_Affiliation,Chrome 108.0.0.0,,,2022-12-29 10:58:38,2022-12-29 11:05:21,6m - 42.881s,FAILED
"callTestCase(findTestCase(""LoginTestcase""), [""url"":url, ""username"":username, ""password"":password], CONTINUE_ON_FAILURE)",Chrome 108.0.0.0,,,2022-12-29 10:58:40,2022-12-29 10:59:18,38.676s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/a_MarketProminence_mpweb-navbar-icon-button_1cdd27""))",Chrome 108.0.0.0,,,2022-12-29 10:59:18,2022-12-29 10:59:22,3.202s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/a_Setup""))",Chrome 108.0.0.0,,,2022-12-29 10:59:22,2022-12-29 10:59:23,1.084s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/a_Action""))",Chrome 108.0.0.0,,,2022-12-29 10:59:23,2022-12-29 10:59:37,14.228s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/selectAffiliation""))",Chrome 108.0.0.0,,,2022-12-29 10:59:37,2022-12-29 10:59:38,1.272s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/button_Add""))",Chrome 108.0.0.0,,,2022-12-29 10:59:38,2022-12-29 10:59:55,16.870s,PASSED
"setText(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Primary_affiliation""), ""staff user"")",Chrome 108.0.0.0,,,2022-12-29 10:59:55,2022-12-29 11:00:00,4.432s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Secondary_affiliation""))",Chrome 108.0.0.0,,,2022-12-29 11:00:00,2022-12-29 11:00:01,1.676s,PASSED
"setText(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Secondary_affiliation""), ""user1"")",Chrome 108.0.0.0,,,2022-12-29 11:00:01,2022-12-29 11:00:04,3.166s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_Lan_assignedPrograms-SELECTED-row-2-col-0""))",Chrome 108.0.0.0,,,2022-12-29 11:00:04,2022-12-29 11:00:06,1.353s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/input_M03_assignedPrograms-SELECTED-row-3-col-0""))",Chrome 108.0.0.0,,,2022-12-29 11:00:06,2022-12-29 11:00:07,1.344s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/button_Save""))",Chrome 108.0.0.0,,,2022-12-29 11:00:07,2022-12-29 11:00:08,1.313s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/span_staff user (1)""))",Chrome 108.0.0.0,,,2022-12-29 11:00:08,2022-12-29 11:00:16,7.740s,PASSED
"click(findTestObject(""Object Repository/Page_MHK MarketProminence Sandbox/button_Add""))",Chrome 108.0.0.0,,,2022-12-29 11:00:16,2022-12-29 11:00:18,1.899s,PASSED
